SCHL_ID,SCHOOL_CODE,SCHOOL_NAME,PROVINCE_CODE,PROVINCE_NAME,DISTRICT_CODE,DISTRICT_NAME,LLGV_CODE,LLGV_NAME,SECTOR_CODE
972721,60078,WENI COMMUNITY SCHOOL,60,SANDAUN PROVINCE,6001,AITAPE/LUMI,600102,EAST WAPEI RURAL,COM
972730,60231,MAKAPIM PRIMARY SCHOOL,60,SANDAUN PROVINCE,6002,NUKU,600209,MAIMAI WANWAN,PRI
972734,61D90,SAAY CENTRAL ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6105,WOSERA GAWI,610520,GAWI RURAL,ELEM
15356,69810,PORT MORESBY NATIONAL HIGH SCHOOL,69,NATIONAL CAPITAL DISTRICT,6901,NATIONAL CAPITAL DISTRICT,690102,MORESBY NORTH WEST,NHS
15361,55601,BAREJI PROVINCIAL HIGH SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550101,ORO BAY RURAL,PHS
15362,55602,EMBOGO PROVINCIAL HIGH SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550101,ORO BAY RURAL,PHS
13888,61D67,DARAPAP S.D.A ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6102,ANGORAM,610208,MERIENBERG,ELEM
14328,55A35,URIO ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550101,ORO BAY RURAL,ELEM
689552,67A23,MOMAREGO ELEMENTARY SCHOOL,67,AUTONOMOUS REGION OF BOUGANVILLE,6703,SOUTH BOUGAINVILLE,670312,TOROKINA RURAL,ELEM
17887,66D11,BURAKALAI ELEMENTARY SCHOOL,66,NEW IRELAND PROVINCE,6602,NAMATANAI,660205,NAMATANAI RURAL,ELEM
9314,53109,ILAI COMMUNITY SCHOOL,53,CENTRAL PROVINCE,5301,ABAU,530101,AMAZON BAY RURAL,COM
14321,64B94,GILNIT ELEMENTARY SCHOOL,64,WEST NEW BRITAIN PROVINCE,6401,KANDRIAN/GLOUCESTER,640102,GLOUCESTER RURAL,ELEM
15439,62530,GOKTO COMMUNITY SCHOOL,62,MADANG PROVINCE,6203,MIDDLE RAMU,620307,ARABAKA RURAL,COM
18084,57D90,HOGAVE ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5705,LUFA,570507,LUFA RURAL,ELEM
15639,67512,BURUBURUNO PRIMARY SCHOOL,67,AUTONOMOUS REGION OF BOUGANVILLE,6703,SOUTH BOUGAINVILLE,670309,BUIN RURAL,PRI
15670,61C51,MARINBANJA CENTRAL ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6106,YANGORU SAUSSIA,610623,EAST YANGORU RURAL,ELEM
18357,62D36,BAURI ELEMENTARY SCHOOL,62,MADANG PROVINCE,6204,RAI COAST,620410,ASTROLABE BAY RURAL,ELEM
14844,61D82,BONGI ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6105,WOSERA GAWI,610519,BURUI / KUNAI RURAL,ELEM
9968,70034,LAKUIA PRIMARY SCHOOL,70,ENGA PROVINCE,7002,KOMPIAM,700203,AMBUM RURAL,PRI
15695,52048,BISI COMMUNITY SCHOOL,52,GULF PROVINCE,5202,KIKORI,520210,WEST KIKORI RURAL,COM
